entry,name,substrates,products
R01142,"Methane,NADH:oxygen oxidoreductase (hydroxylating)",C01438; C00007; C00004; C00080,C00132; C00003; C00001
R01143,"methane,NADPH:oxygen oxidoreductase (hydroxylating)",C01438; C00007; C00005; C00080,C00132; C00006; C00001
R02823,"Alkene,NADH:oxygen oxidoreductase (hydroxylating)",C01372; C00007; C00004; C00080,C00722; C00003; C00001
R07098,"trichloroethene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C06790; C00005; C00007; C00080,C11148; C00006; C00001
R09141,Trichloroethene + NADH + H+ + Oxygen <=> TCE epoxide + NAD+ + H2O,C06790; C00004; C00080; C00007,C11148; C00003; C00001
R09148,"1,1,1-Trichloroethane + NADH + H+ + Oxygen <=> Trichloroethanol + NAD+ + H2O",C18246; C00004; C00080; C00007,C07490; C00003; C00001
R02561,"4-aminobenzoate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)",C00568; C00007; C00004; C00080,C02372; C00011; C00003; C00001
R02562,"4-aminobenzoate,NADPH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)",C00568; C00007; C00005; C00080,C02372; C00011; C00006; C00001
R03023,"4-nitrophenol,NADH:oxygen oxidoreductase (2-hydroxylating)",C00870; C00007; C00004; C00080,C02235; C00003; C00001
R00828,"2-nitrophenol,NADPH:oxygen 2-oxidoreductase (2-hydroxylating, nitrite-forming)",C01988; C00007; C00005; C00080,C00090; C00088; C00006; C00001
R03712,"albendazole,NADPH:oxygen oxidoreductase (sulfoxide-forming)",C01779; C00007; C00005; C00080,C02809; C00006; C00001
R01296,"4-hydroxybenzoate,NADH:oxygen oxidoreductase (3-hydroxylating)",C00156; C00007; C00004; C00080,C00230; C00003; C00001
R01298,"4-hydroxybenzoate,NADPH:oxygen oxidoreductase (3-hydroxylating)",C00156; C00007; C00005; C00080,C00230; C00006; C00001
R04256,"(7E,9E,11Z,14Z)-(5S,6R)-6-(cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate,NADPH:oxygen oxidoreductase (20-hydroxylating)",C05952; C00007; C00005; C00080,C03577; C00006; C00001
R00980,"Anthranilate,NADPH:oxygen oxidoreductase (3-hydroxylating, deaminating)",C00108; C00007; C00005; C00080,C00196; C00014; C00006
R04060,"anhydrotetracycline,NADPH:oxygen oxidoreductase (6-hydroxylating)",C02811; C00007; C00005; C00080,C03206; C00006; C00001
R09193,"anhydrochlortetracycline,NADPH:oxygen oxidoreductase (6-hydroxylating)",C18297; C00007; C00005; C00080,C18298; C00006; C00001
R00111,"N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)",C00005; C05933; C00007; C00080,C00006; C00533; C00327; C00001
R00557,"L-arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)",C00062; C00007; C00005; C00080,C00533; C00327; C00006; C00001
R00558,"L-arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming)",C00062; C00007; C00005; C00080,C05933; C00006; C00001
R03369,"3-(2-hydroxyphenyl)propanoate,NADH2:oxygen oxidoreductase(3-hydroxylating)",C01198; C00007; C00004; C00080,C04044; C00003; C00001
R03998,"anthranilyl-CoA,NADH:oxygen oxidoreductase (de-aromatizing)",C02247; C00007; C00004; C00080,C05165; C00001; C00003
R03999,"anthranilyl-CoA,NADH:oxygen oxidoreductase (de-aromatizing)",C02247; C00007; C00005; C00080,C05165; C00001; C00006
R02417,"questin,NADPH:oxygen oxidoreductase (hydroxylating, anthraquinone-ring-opening)",C01448; C00007; C00005; C00080,C15504; C00006
R03964,"2-hydroxybiphenyl,NADH:oxygen oxidoreductase (3-hydroxylating)",C02499; C00007; C00004; C00080,C02526; C00003; C00001
R02178,"(-)-menthol,NADPH:oxygen oxidoreductase (8-hydroxylating)",C00400; C00007; C00005; C00080,C02904; C00006; C00001
R04066,"imidazole-4-acetate,NADH:oxygen oxidoreductase (5-hydroxylating)",C02835; C00007; C00004; C00080,C05133; C00003; C00001
R03982,"Pentachlorophenol,NADPH:oxygen oxidoreductase (hydroxylating, dechloronating)",C02575; C00007; C00005; C00080,C18933; C00698; C00006; C00001
R07191,"tetrachlorophenol,NADPH:oxygen oxidoreductase (hydroxylating)",C15505; C00005; C00080; C00007,C03434; C00006; C00001
R07779,"bromoxynil,NADPH:oxygen oxidoreductase",C04178; C00005; C00080; C00007,C16248; C00006; C01326; C00001
R02995,"6-Oxocineole,NADPH:oxygen oxidoreductase",C00848; C00007; C00005; C00080,C04718; C00006; C00001
R02210,"Ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating, ester-producing/20-hydroxylating, side-chain cleaving/17-hydroxylating, lactonizing)",C00410; C00007; C00005; C00080,C03027; C00006; C00001
R07192,"ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating,ester-producing)",C06479; C00005; C00080; C00007,C15506; C00006; C00001
R07193,"ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating, side-chain cleaving/17-hydroxylating, lactonizing)",C06479; C00005; C00080; C00007,C15507; C00006; C00001
R08205,Androstenedione + NADPH + H+ + Oxygen <=> Testololactone + NADP+ + H2O,C00280; C00005; C00080; C00007,C04676; C00006; C00001
R08206,17alpha-Hydroxyprogesterone + NADPH + H+ + Oxygen <=> Androstenedione + Acetate + NADP+ + H2O,C01176; C00005; C00080; C00007,C00280; C00033; C00006; C00001
R02449,"benzoyl-CoA,NADPH:oxygen oxidoreductase (3-hydroxylating)",C00512; C00007; C00005; C00080,C05195; C00006; C00001
R00448,"L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)",C00047; C00007; C00005; C00080,C01028; C00006; C00001
R02830,"orcinol,NADH:oxygen oxidoreductase (2-hydroxylating)",C00727; C00007; C00004; C00080,C03338; C00003; C00001
R05158,"Quinolin-2-ol,NADH:oxygen oxidoreductase (8-hydroxylating)",C06338; C00007; C00004; C00080,C06342; C00003; C00001
R05154,"quinolin-4(1H)-one,NADH:oxygen oxidoreductase (3-oxygenating)",C06343; C00007; C00004; C00080,C06330; C00003; C00001
R02515,"3-hydroxyphenylacetate,NADH:oxygen oxidoreductase (6-hydroxylating)",C05593; C00007; C00004; C00080,C00544; C00003; C00001
R02517,"3-hydroxyphenylacetate,NADPH:oxygen oxidoreductase (6-hydroxylating)",C05593; C00007; C00005; C00080,C00544; C00006; C00001
R01297,"4-hydroxybenzoate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)",C00156; C00007; C00004; C00080,C00530; C00011; C00003; C00001
R01299,"4-hydroxybenzoate,NADPH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)",C00156; C00007; C00005; C00080,C00530; C00011; C00006; C00001
R01629,"protocatechuate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)",C00230; C00007; C00004; C00080,C02814; C00011; C00003; C00001
R01630,"protocatechuate,NADPH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)",C00230; C00007; C00005; C00080,C02814; C00011; C00006; C00001
R03281,"2-hydroxycyclohexan-1-one,NADPH:oxygen 2-oxidoreductase (1,2-lactonizing)",C01147; C00007; C00005; C00080,C03241; C00006; C00001
R05444,Ethylene + Oxygen + NADH + H+ <=> Ethylene oxide + NAD+ + H2O,C06547; C00007; C00004; C00080,C06548; C00003; C00001
R05729,"alkene,NADH:oxygen oxidoreductase",C11505; C00004; C00080; C00007,C11506; C00003; C00001
R05730,"alkene,NADH:oxygen oxidoreductase",C11505; C00004; C00080; C00007,C11507; C00003; C00001
R07194,"alkene,NADH:oxygen oxidoreductase",C11505; C00004; C00080; C00007,C15508; C00003; C00001
R11901,"chloroethylene,NADH:oxygen oxidoreductase",C06793; C00004; C00080; C00007,C20303; C00003; C00001
R00815,"phenol,NADPH:oxogen oxidoreductase (2-hydroxylating)",C00146; C00007; C00005; C00080,C00090; C00006; C00001
R03566,"3-Cresol,NADPH:oxogen oxidoreductase (2-hydroxylating)",C01467; C00007; C00005; C00080,C02923; C00006; C00001
R03568,"4-Cresol,NADPH:oxogen oxidoreductase (2-hydroxylating)",C01468; C00007; C00005; C00080,C06730; C00006; C00001
R03344,"N,N-dimethylaniline,NADPH:oxygen oxidoreductase(N-oxide-forming)",C02846; C00007; C00005; C00080,C01183; C00006; C00001
R04523,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine,NADPH:oxygen oxidoreductase (N-oxide-forming)",C04599; C00005; C00080; C00007,C04731; C00006; C00001
R08266,"tamoxifen,NADPH:oxygen oxidoreductase (N-oxide-forming)",C07108; C00007; C00005; C00080,C16545; C00006; C00001
R06265,"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)",C04536; C00005; C00080; C00007,C11829; C00006; C00001
R06266,"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)",C11829; C00005; C00080; C00007,C11830; C00006; C00001
R06267,"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)",C11830; C00005; C00080; C00007,C11831; C00006; C00001
R10068,"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)",C04536; C00005; C00080; C00007,C11831; C00006; C00001
R05274,vanillate:oxygen oxidoreductase (demethylating),C06672; C00007; C00004; C00080,C00230; C00003; C00001; C00067
R05217,"precorrin-3A,NADH:oxygen oxidoreductase (20-hydroxylating)",C05772; C00007; C00004; C00080,C06406; C00003; C00001
R06892,"(4-hydroxyphenyl)ethan-1-one,NADPH:oxygen oxidoreductase (ester-forming)",C10700; C00005; C00080; C00007,C13636; C00006; C00001
R01960,"L-Kynurenine,NADPH:oxygen oxidoreductase (3-hydroxylating)",C00328; C00007; C00005; C00080,C03227; C00006; C00001
R07201,"phenylacetone,NADPH:oxygen oxidoreductase",C15512; C00005; C00080; C00007,C15513; C00006; C00001
R05446,"2,5-Dichlorohydroquinone + FADH2 + Oxygen <=> 5-Chloro-2-hydroxy-p-benzoquinone + FAD + H2O + Cl-",C06600; C01352; C00007,C21105; C00016; C00001; C00698
R05447,"2,4,5-Trichlorophenol + FADH2 + Oxygen <=> 2,5-Dichloro-p-benzoquinone + FAD + H2O + Cl-",C07101; C01352; C00007,C21104; C00016; C00001; C00698
R05449,"2,4,6-Trichlorophenol + FADH2 + Oxygen <=> 2,6-Dichloro-p-benzoquinone + FAD + H2O + Cl-",C07098; C01352; C00007,C21103; C00016; C00001; C00698
R05456,4-keto-anhydrotetracycline:FADH2 oxidoreductase (7-halogenating),C06627; C01352; C00698; C00007; C00080,C06626; C00016; C00001
R05829,Geissoschizine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Polyneuridine aldehyde + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,C02151; C03024; C00007,C11632; C03161; C00001
R05849,Ajmalicine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Serpentine + [Oxidized NADPH---hemoprotein reductase] + 2 H2O + 2 H+,C09024; C03024; C00007,C09241; C03161; C00001; C00080
R07046,Arachidonate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 19(S)-HETE + [Oxidized NADPH---hemoprotein reductase] + H2O,C00219; C03024; C00007,C14749; C03161; C00001
R07048,"Arachidonate + Oxygen + NADPH + H+ <=> 14,15-EET + NADP+ + H2O",C00219; C00007; C00005; C00080,C14771; C00006; C00001
R07050,"Arachidonate + Oxygen + NADPH + H+ <=> 11,12-EET + NADP+ + H2O",C00219; C00007; C00005; C00080,C14770; C00006; C00001
R07051,"Arachidonate + Oxygen + NADPH + H+ <=> 8,9-EET + NADP+ + H2O",C00219; C00007; C00005; C00080,C14769; C00006; C00001
R07055,Linoleate + Oxygen + NADPH + H+ <=> 9(10)-EpOME + NADP+ + H2O,C01595; C00007; C00005; C00080,C14825; C00006; C00001
R07056,Linoleate + Oxygen + NADPH + H+ <=> 12(13)-EpOME + NADP+ + H2O,C01595; C00007; C00005; C00080,C14826; C00006; C00001
R07079,"Benzpyrene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C07535; C00005; C00007; C00080,C14849; C00006; C00001
R07080,"Benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C07535; C00005; C00007; C00080,C14850; C00006; C00001
R07081,"Benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C07535; C00005; C00007; C00080,C14851; C00006; C00001
R07085,"benzo[a]pyrene-7,8-diol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C14852; C00005; C00007; C00080,C14853; C00006; C00001
R07087,"9-hydroxybenzo[a]pyrene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C14556; C00005; C00007; C00080,C14854; C00006; C00001
R08267,Tamoxifen + NADPH + Oxygen + H+ <=> Hydroxytamoxifen + NADP+ + H2O,C07108; C00005; C00007; C00080,C05011; C00006; C00001
R08275,Cyclophosphamide + NADPH + H+ + Oxygen <=> 4-Hydroxycyclophosphamide + NADP+ + H2O,C07888; C00005; C00080; C00007,C07643; C00006; C00001
R08285,Ifosfamide + NADPH + H+ + Oxygen <=> 4-Hydroxyifosfamide + NADP+ + H2O,C07047; C00005; C00080; C00007,C16553; C00006; C00001
R08324,Valproic acid <=> 2-n-Propyl-4-pentenoic acid,C07185,C16648
R08325,Valproic acid + NADPH + H+ + Oxygen <=> 4-Hydroxyvalproic acid + NADP+ + H2O,C07185; C00005; C00080; C00007,C16649; C00006; C00001
R08326,Valproic acid + NADPH + H+ + Oxygen <=> 5-Hydroxyvalproic acid + NADP+ + H2O,C07185; C00005; C00080; C00007,C16650; C00006; C00001
R08343,Citalopram <=> Demethylcitalopram,C07572,C16608
R08390,Retinoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> all-trans-18-Hydroxyretinoic acid + [Oxidized NADPH---hemoprotein reductase] + H2O,C00777; C03024; C00007,C16679; C03161; C00001
R08392,Retinoate + NADPH + H+ + Oxygen <=> all-trans-4-Hydroxyretinoic acid + NADP+ + H2O,C00777; C00005; C00080; C00007,C16677; C00006; C00001
R08840,"teasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (7-oxateasterone-forming)",C15791; C03024; C00007,C17733; C03161; C00001
R08841,"typhasterol,NADPH---hemoprotein reductase:oxygen oxidoreductase (7-oxatyphasterol-forming)",C15793; C03024; C00007,C17735; C03161; C00001
R09313,"dihydrokalafungin-dihydroquinone,FMNH2:oxygen oxidoreductase (hydroxylating)",C18360; C01847; C00007,C18358; C00061; C00001
R09314,6-Deoxydihydrokalafungin + Reduced FMN + Oxygen <=> Dihydrokalafungin + FMN + H2O,C12435; C01847; C00007,C12436; C00061; C00001
R12282,Tetrahydroalstonine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Alstonine + [Oxidized NADPH---hemoprotein reductase] + 2 H2O + 2 H+,C11682; C03024; C00007,C09028; C03161; C00001; C00080
R12301,o-Methoxyphenol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Catechol + [Oxidized NADPH---hemoprotein reductase] + Formaldehyde + H2O,C01502; C03024; C00007,C00090; C03161; C00067; C00001
R01842,"androstenedione,NADPH---hemoprotein reductase:oxygen oxidoreductase (7alpha-hydroxylating)",C00280; C03024; C00007,C05296; C03161; C00001
R02354,Estrone + H+ + Oxygen + NADH <=> 2-Hydroxyestrone + NAD+ + H2O,C00468; C00080; C00007; C00004,C05298; C00003; C00001
R02355,Estrone + H+ + Oxygen + NADPH <=> 2-Hydroxyestrone + NADP+ + H2O,C00468; C00080; C00007; C00005,C05298; C00006; C00001
R02356,Estrone + H+ + Oxygen + NADPH <=> 16alpha-Hydroxyestrone + NADP+ + H2O,C00468; C00080; C00007; C00005,C05300; C00006; C00001
R02503,"testosterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (7alpha-hydroxylating)",C00535; C03024; C00007,C05291; C03161; C00001
R03088,Estradiol-17beta + H+ + Oxygen + NADH <=> 2-Hydroxyestradiol + NAD+ + H2O,C00951; C00080; C00007; C00004,C05301; C00003; C00001
R03089,Estradiol-17beta + H+ + Oxygen + NADPH <=> Estriol + NADP+ + H2O,C00951; C00080; C00007; C00005,C05141; C00006; C00001
R03090,Estradiol-17beta + H+ + Oxygen + NADPH <=> 2-Hydroxyestradiol + NADP+ + H2O,C00951; C00080; C00007; C00005,C05301; C00006; C00001
R03408,Dehydroepiandrosterone + H+ + Oxygen + NADPH <=> 16alpha-Hydroxydehydroepiandrosterone + NADP+ + H2O,C01227; C00080; C00007; C00005,C05139; C00006; C00001
R03629,"substrate,reduced-flaboprotein:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C01598; C03024; C00007,C05643; C03161; C00001
R03697,Morphine + [Oxidized NADPH---hemoprotein reductase] + Formaldehyde + H2O <=> Codeine + [Reduced NADPH---hemoprotein reductase] + Oxygen,C01516; C03161; C00067; C00001,C06174; C03024; C00007
R04121,"Fatty acid,reduced-flaboprotein:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C03024; C00162; C00007,C05102; C03161; C00001
R04122,"alkane,reduced-flavoprotein:oxygen oxidoreductase (RH-hydroxylating)",C03024; C01371; C00007,C03161; C01335; C00001
R05259,"parathion,NADPH---hemoprotein reductase:oxygen oxidoreductase (paraoxon-forming)",C06604; C03024; C00007,C06606; C03161; C00087; C00001
R07000,"naphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C00829; C00005; C00007; C00080,C14786; C00006; C00001
R07001,"Naphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C00829; C00005; C00007; C00080,C14787; C00006; C00001
R07021,"1-nitronaphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C14040; C00005; C00007; C00080,C14802; C00006; C00001
R07022,"1-nitronaphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C14040; C00005; C00007; C00080,C14800; C00006; C00001
R07042,"15(S)-HPETE <=> 15H-11,12-EETA",C05966,C14781
R07043,"15(S)-HPETE <=> 11H-14,15-EETA",C05966,C14813
R07044,"15H-11,12-EETA + H2O <=> 11,12,15-THETA",C14781; C00001,C14782
R07045,"11H-14,15-EETA + H2O <=> 11,14,15-THETA",C14813; C00001,C14814
R07046,Arachidonate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 19(S)-HETE + [Oxidized NADPH---hemoprotein reductase] + H2O,C00219; C03024; C00007,C14749; C03161; C00001
R07048,"Arachidonate + Oxygen + NADPH + H+ <=> 14,15-EET + NADP+ + H2O",C00219; C00007; C00005; C00080,C14771; C00006; C00001
R07050,"Arachidonate + Oxygen + NADPH + H+ <=> 11,12-EET + NADP+ + H2O",C00219; C00007; C00005; C00080,C14770; C00006; C00001
R07051,"Arachidonate + Oxygen + NADPH + H+ <=> 8,9-EET + NADP+ + H2O",C00219; C00007; C00005; C00080,C14769; C00006; C00001
R07052,"Arachidonate + Oxygen + NADPH + H+ <=> 5,6-EET + NADP+ + H2O",C00219; C00007; C00005; C00080,C14768; C00006; C00001
R07054,Arachidonate + Oxygen + NADPH + H+ <=> 16(R)-HETE + NADP+ + H2O,C00219; C00007; C00005; C00080,C14778; C00006; C00001
R07055,Linoleate + Oxygen + NADPH + H+ <=> 9(10)-EpOME + NADP+ + H2O,C01595; C00007; C00005; C00080,C14825; C00006; C00001
R07056,Linoleate + Oxygen + NADPH + H+ <=> 12(13)-EpOME + NADP+ + H2O,C01595; C00007; C00005; C00080,C14826; C00006; C00001
R07079,"Benzpyrene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C07535; C00005; C00007; C00080,C14849; C00006; C00001
R07080,"Benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C07535; C00005; C00007; C00080,C14850; C00006; C00001
R07081,"Benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C07535; C00005; C00007; C00080,C14851; C00006; C00001
R07085,"benzo[a]pyrene-7,8-diol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C14852; C00005; C00007; C00080,C14853; C00006; C00001
R07087,"9-hydroxybenzo[a]pyrene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C14556; C00005; C00007; C00080,C14854; C00006; C00001
R07098,"trichloroethene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C06790; C00005; C00007; C00080,C11148; C00006; C00001
R07099,"trichloroethene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)",C06790; C00005; C00007; C00080,C14866; C00006; C00001
R07939,caffeine:oxygen oxidoreductase (N3-demethylating),C07481; C00005; C00007; C00080,C13747; C00006; C00067; C00001
R07943,"1,7-Dimethylxanthine <=> 1-Methylxanthine",C13747,C16358
R07945,"1,7-Dimethylxanthine <=> 1,7-Dimethyluric acid",C13747,C16356
R08225,Tegafur + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 5-FU + Succinic aldehyde + [Oxidized NADPH---hemoprotein reductase] + H2O,C12673; C03024; C00007,C07649; C16835; C03161; C00001
R08265,Morphine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Normorphine + Formaldehyde + [Oxidized NADPH---hemoprotein reductase] + H2O,C01516; C03024; C00007,C11785; C00067; C03161; C00001
R08267,Tamoxifen + NADPH + Oxygen + H+ <=> Hydroxytamoxifen + NADP+ + H2O,C07108; C00005; C00007; C00080,C05011; C00006; C00001
R08270,N-Desmethyltamoxifen + NADPH + Oxygen + H+ <=> Endoxifen + NADP+ + H2O,C16546; C00005; C00007; C00080,C16547; C00006; C00001
R08286,Ifosfamide <=> Dechloroethylcyclophosphamide + Chloroacetaldehyde,C07047,C16550; C06754
R08287,Ifosfamide <=> 2-Dechloroethylifosfamide + Chloroacetaldehyde,C07047,C16555; C06754
R08293,Lidocaine <=> Monoethylglycinexylidide,C07073,C16561
R08294,Lidocaine + NADPH + Oxygen + H+ <=> 3-Hydroxylidocaine + NADP+ + H2O,C07073; C00005; C00007; C00080,C16560; C00006; C00001
R08312,"Carbamazepine + NADPH + H+ + Oxygen <=> Carbamazepine-10,11-epoxide + NADP+ + H2O",C06868; C00005; C00080; C00007,C07496; C00006; C00001
R08343,Citalopram <=> Demethylcitalopram,C07572,C16608
R08344,Citalopram <=> Citalopram N-oxide,C07572,C16607
R08345,Demethylcitalopram <=> Didemethylcitalopram,C16608,C16609
R08390,Retinoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> all-trans-18-Hydroxyretinoic acid + [Oxidized NADPH---hemoprotein reductase] + H2O,C00777; C03024; C00007,C16679; C03161; C00001
R08391,"Retinoate + NADPH + H+ + Oxygen <=> all-trans-5,6-Epoxyretinoic acid + NADP+ + H2O",C00777; C00005; C00080; C00007,C16680; C00006; C00001
R08392,Retinoate + NADPH + H+ + Oxygen <=> all-trans-4-Hydroxyretinoic acid + NADP+ + H2O,C00777; C00005; C00080; C00007,C16677; C00006; C00001
R09404,Aflatoxin B1 + Oxygen + NADPH + H+ <=> Aflatoxin Q1 + H2O + NADP+,C06800; C00007; C00005; C00080,C19585; C00001; C00006
R09405,Aflatoxin B1 + Oxygen + NADPH + H+ <=> Aflatoxin M1 + H2O + NADP+,C06800; C00007; C00005; C00080,C16756; C00001; C00006
R09406,"Aflatoxin M1 + Oxygen + NADPH + H+ <=> Aflatoxin-M1-8,9-epoxide + H2O + NADP+",C16756; C00007; C00005; C00080,C19594; C00001; C00006
R09407,"Aflatoxin B1 + Oxygen + NADPH + H+ <=> Aflatoxin B1-endo-8,9-epoxide + H2O + NADP+",C06800; C00007; C00005; C00080,C19595; C00001; C00006
R09408,"Aflatoxin B1 + Oxygen + NADPH + H+ <=> Aflatoxin B1-exo-8,9-epoxide + H2O + NADP+",C06800; C00007; C00005; C00080,C19586; C00001; C00006
R09416,"7,12-Dimethylbenz[a]anthracene + Oxygen + NADPH + H+ <=> 1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene + H2O + NADP+",C19488; C00007; C00005; C00080,C19489; C00001; C00006
R09418,"trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene + Oxygen + NADPH + H+ <=> (1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol + H2O + NADP+",C19490; C00007; C00005; C00080,C19559; C00001; C00006
R09421,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + Oxygen + NADPH + H+ <=> 4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone + H2O + NADP+,C16453; C00007; C00005; C00080,C19563; C00001; C00006
R09423,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + Oxygen + NADPH + H+ <=> 4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone + H2O + NADP+,C16453; C00007; C00005; C00080,C19566; C00001; C00006
R09424,"4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + Oxygen + NADPH + H+ <=> 1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol + H2O + NADP+",C19574; C00007; C00005; C00080,C19577; C00001; C00006
R09425,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + Oxygen + NADPH + H+ <=> alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol + H2O + NADP+,C19574; C00007; C00005; C00080,C19580; C00001; C00006
R09442,"7,12-Dimethylbenz[a]anthracene + Oxygen + NADPH + H+ <=> 7,12-Dimethylbenz[a]anthracene 5,6-oxide + H2O + NADP+",C19488; C00007; C00005; C00080,C19604; C00001; C00006
R09798,"nitrilotriacetate,FMNH2:oxygen oxidoreductase (glyoxylate-forming)",C14695; C01847; C00007,C19911; C00048; C00061; C00001
R04702,"dihydrosanguinarine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (10-hydroxylating)",C05191; C03024; C00007,C05247; C03161; C00001
R04708,"dihydrochelirubine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12-hydroxylating)",C05194; C03024; C00007,C05193; C03161; C00001
R05732,"(S)-N-methylcoclaurine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)",C05176; C03024; C00007,C05202; C03161; C00001
R05855,"tabersonine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (16-hydroxylating)",C09244; C03024; C00007,C11643; C03161; C00001
R05877,"vinorine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (21alpha-hydroxylating)",C11807; C03024; C00007,C01761; C03161; C00001
R06309,"taxa-4(20),11-dien-5alpha-yl acetate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (10beta-hydroxylating)",C11896; C03024; C00007,C11898; C03161; C00001
R06308,"taxa-4(20),11-dien-5alpha-ol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (13alpha-hydroxylating)",C11895; C03024; C00007,C11897; C03161; C00001
R06294,"ent-kaur-16-en-19-oate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating)",C11874; C03024; C00007,C11875; C03161; C00001
R06295,"ent-kaur-16-en-19-oate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating)",C11875; C03024; C00007,C06093; C03161; C00001
R06296,"ent-kaur-16-en-19-oate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating)",C11875; C03024; C00007,C11876; C03161; C00001
